id,nome,siglaUf,siglaPartido,idLegislatura
204554,Abílio Santana,BA,PL,56
204521,Abou Anni,SP,PSL,56
204379,Acácio Favacho,AP,PROS,56
204560,Adolfo Viana,BA,PSDB,56
204528,Adriana Ventura,SP,NOVO,56
121948,Adriano do Baldy,GO,PP,56
74646,Aécio Neves,MG,PSDB,56
141372,Aelton Freitas,MG,PL,56
160508,Afonso Florence,BA,PT,56
136811,Afonso Hamm,RS,PP,56
178835,Afonso Motta,RS,PDT,56
160527,Aguinaldo Ribeiro,PB,PP,56
204495,Airton Faleiro,PA,PT,56
204549,AJ Albuquerque,CE,PP,56
178836,Alan Rick,AC,DEM,56
160559,Alceu Moreira,RS,MDB,56
204413,Alcides Rodrigues,GO,PATRIOTA,56
204545,Alê Silva,MG,PSL,56
204501,Alencar Santana Braga,SP,PT,56
160511,Alessandro Molon,RJ,PSB,56
178972,Alex Manente,SP,CIDADANIA,56
204571,Alex Santana,BA,PDT,56
204544,Alexandre Frota,SP,PSDB,56
160545,Alexandre Leite,SP,DEM,56
204503,Alexandre Padilha,SP,PT,56
204516,Alexis Fonteyne,SP,NOVO,56
74057,Alice Portugal,BA,PCdoB,56
178927,Aliel Machado,PR,PSB,56
204353,Aline Gurgel,AP,REPUBLICANOS,56
204400,Aline Sleutjes,PR,PSL,56
178937,Altineu Côrtes,RJ,PL,56
178881,Aluisio Mendes,MA,PSC,56
204356,Amaro Neto,ES,REPUBLICANOS,56
178831,André Abdon,AP,PP,56
74471,André de Paula,PE,PSD,56
204423,André Ferreira,PE,PSC,56
133439,André Figueiredo,CE,PDT,56
178882,André Fufuca,MA,PP,56
204515,André Janones,MG,AVANTE,56
73696,Angela Amin,SC,PP,56
74212,Aníbal Gomes,CE,DEM,56
160553,Antonio Brito,BA,PSD,56
73433,Arlindo Chinaglia,SP,PT,56
141391,Arnaldo Jardim,SP,CIDADANIA,56
204414,Aroldo Martins,PR,REPUBLICANOS,56
160541,Arthur Lira,AL,PP,56
160600,Arthur Oliveira Maia,BA,DEM,56
74090,Átila Lins,AM,PP,56
74459,Átila Lira,PI,PP,56
160665,Augusto Coutinho,PE,SOLIDARIEDADE,56
204509,Áurea Carolina,MG,PSOL,56
160512,Aureo Ribeiro,RJ,SOLIDARIEDADE,56
69871,Bacelar,BA,PODE,56
178975,Baleia Rossi,SP,MDB,56
73701,Benedita da Silva,RJ,PT,56
109429,Benes Leocádio,RN,REPUBLICANOS,56
141335,Beto Faro,PA,PT,56
204358,Beto Pereira,MS,PSDB,56
178948,Beto Rosado,RN,PP,56
207176,Bia Cavassa,MS,PSDB,56
204374,Bia Kicis,DF,PSL,56
204388,Bibo Nunes,RS,PSL,56
141513,Bilac Pinto,MG,DEM,56
204561,Bira do Pindaré,MA,PSB,56
160538,Bohn Gass,RS,PT,56
74052,Bosco Costa,SE,PL,56
204551,Bosco Saraiva,AM,SOLIDARIEDADE,56
204502,Bozzella,SP,PSL,56
160589,Bruna Furlan,SP,PSDB,56
93083,Cacá Leão,BA,PP,56
204352,Camilo Capiberibe,AP,PSB,56
204572,Capitão Alberto Neto,AM,REPUBLICANOS,56
178829,Capitão Augusto,SP,PL,56
178924,Capitão Fábio Abreu,PI,PL,56
204487,Capitão Wagner,CE,PROS,56
213762,Carla Dickson,RN,PROS,56
204507,Carla Zambelli,SP,PSL,56
204361,Carlos Chiodini,SC,MDB,56
178962,Carlos Gomes,RS,REPUBLICANOS,56
178993,Carlos Henrique Gaguim,TO,DEM,56
204460,Carlos Jordy,RJ,PSL,56
74262,Carlos Sampaio,SP,PSDB,56
204426,Carlos Veras,PE,PT,56
141398,Carlos Zarattini,SP,PT,56
164360,Carmen Zanotto,SC,CIDADANIA,56
204369,Caroline de Toni,SC,PSL,56
204499,Cássio Andrade,PA,PSB,56
204380,Celina Leão,DF,PP,56
204370,Célio Moura,TO,PT,56
178876,Célio Silveira,GO,PSDB,56
204488,Célio Studart,CE,PV,56
141405,Celso Maldaner,SC,MDB,56
73441,Celso Russomanno,SP,REPUBLICANOS,56
204496,Celso Sabino,PA,PSL,56
204504,Cezinha de Madureira,SP,PSD,56
205476,Charles Fernandes,BA,PSD,56
204490,Charlles Evangelista,MG,PSL,56
141439,Chico D'Angelo,RJ,PDT,56
204476,Chiquinho Brazão,RJ,AVANTE,56
204462,Chris Tonietto,RJ,PSL,56
178928,Christiane de Souza Yared,PR,PL,56
204440,Christino Aureo,RJ,PP,56
178939,Clarissa Garotinho,RJ,PROS,56
74537,Claudio Cajado,BA,PP,56
141408,Cleber Verde,MA,REPUBLICANOS,56
204376,Coronel Armando,SC,PSL,56
204378,Coronel Chrisóstomo,RO,PSL,56
204514,Coronel Tadeu,SP,PSL,56
178963,Covatti Filho,RS,PP,56
135054,Cristiano Vale,PA,PL,56
204355,Da Vitoria,ES,CIDADANIA,56
141411,Dagoberto Nogueira,MS,PDT,56
74467,Damião Feliciano,PB,PDT,56
74060,Daniel Almeida,BA,PCdoB,56
178916,Daniel Coelho,PE,CIDADANIA,56
204367,Daniel Freitas,SC,PSL,56
204454,Daniel Silveira,RJ,PSL,56
204409,Daniel Trzeciak,RS,PSDB,56
204459,Daniela do Waguinho,RJ,MDB,56
160528,Danilo Cabral,PE,PSB,56
62881,Danilo Forte,CE,PSDB,56
116379,Darci de Matos,SC,PSD,56
205548,David Miranda,RJ,PSOL,56
204511,David Soares,SP,DEM,56
204451,Delegado Antônio Furtado,RJ,PSL,56
178908,Delegado Éder Mauro,PA,PSD,56
204512,Delegado Marcelo Freitas,MG,PSL,56
204569,Delegado Pablo,AM,PSL,56
164359,Delegado Waldir,GO,PSL,56
204542,Denis Bezerra,CE,PSB,56
160588,Diego Andrade,MG,PSD,56
