id,data,siglaOrgao,aprovacao
2192283-26,2019-02-20,MESA,1
2192225-28,2019-02-20,MESA,1
2192224-29,2019-02-20,MESA,1
2192207-28,2019-02-20,MESA,1
2192199-29,2019-02-20,MESA,1
2192190-28,2019-02-20,MESA,1
2192175-28,2019-02-20,MESA,1
2192174-28,2019-02-20,MESA,1
2192154-21,2019-02-20,MESA,1
2192152-22,2019-02-20,MESA,1
2192134-28,2019-02-20,MESA,1
2192133-28,2019-02-20,MESA,1
2192106-26,2019-02-20,MESA,1
2192072-26,2019-02-20,MESA,1
2192054-26,2019-02-20,MESA,1
2192051-26,2019-02-20,MESA,1
2192046-26,2019-02-20,MESA,1
2192044-26,2019-02-20,MESA,1
2192036-26,2019-02-20,MESA,1
2192029-26,2019-02-20,MESA,1
2191931-26,2019-02-20,MESA,1
2191903-26,2019-02-20,MESA,1
2191893-26,2019-02-20,MESA,1
2191890-26,2019-02-20,MESA,1
2191889-26,2019-02-20,MESA,1
2191888-26,2019-02-20,MESA,1
2191884-26,2019-02-20,MESA,1
2191856-26,2019-02-20,MESA,1
2191855-26,2019-02-20,MESA,1
2191853-26,2019-02-20,MESA,1
2191852-29,2019-02-20,MESA,1
2191851-28,2019-02-20,MESA,1
2191850-26,2019-02-20,MESA,1
2191848-26,2019-02-20,MESA,1
2191847-26,2019-02-20,MESA,1
2191846-26,2019-02-20,MESA,1
2191845-26,2019-02-20,MESA,1
2191843-26,2019-02-20,MESA,1
2191842-26,2019-02-20,MESA,1
2191841-26,2019-02-20,MESA,1
2191826-26,2019-02-20,MESA,1
2191825-26,2019-02-20,MESA,1
2191824-28,2019-02-20,MESA,1
2191823-26,2019-02-20,MESA,1
2191822-26,2019-02-20,MESA,1
2191821-26,2019-02-20,MESA,1
2191820-26,2019-02-20,MESA,1
2191819-27,2019-02-20,MESA,1
2191818-26,2019-02-20,MESA,1
2191773-26,2019-02-20,MESA,1
2191761-26,2019-02-20,MESA,1
2191756-26,2019-02-20,MESA,1
2191729-26,2019-02-20,MESA,1
2191720-26,2019-02-20,MESA,1
2191718-26,2019-02-20,MESA,1
2191716-26,2019-02-20,MESA,1
2191715-26,2019-02-20,MESA,1
2191664-26,2019-02-20,MESA,1
2191618-26,2019-02-20,MESA,1
2191616-26,2019-02-20,MESA,1
2191615-26,2019-02-20,MESA,1
2191613-26,2019-02-20,MESA,1
2191612-26,2019-02-20,MESA,1
2191611-26,2019-02-20,MESA,1
2191610-26,2019-02-20,MESA,1
2191609-26,2019-02-20,MESA,1
2191608-28,2019-02-20,MESA,1
2191607-28,2019-02-20,MESA,1
2191606-28,2019-02-20,MESA,1
2191605-26,2019-02-20,MESA,1
2191604-26,2019-02-20,MESA,1
2191561-26,2019-02-20,MESA,1
2191557-26,2019-02-20,MESA,1
2191556-28,2019-02-20,MESA,1
2191555-28,2019-02-20,MESA,1
2191554-26,2019-02-20,MESA,1
2191540-26,2019-02-20,MESA,1
2191538-26,2019-02-20,MESA,1
2191537-26,2019-02-20,MESA,1
2191532-28,2019-02-20,MESA,1
